Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,160094,-,b'Karnataka',b'India',12.98,77.59,5,931,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Pressure,Solar Zenith Angle
2019,1,11,11,0,881,948,129,29.8,1.9000000000000001,914,37.550000000000004
2019,1,11,12,0,918,962,128,31.200000000000003,2,912,34.81
2019,1,11,13,0,876,954,124,31.900000000000002,2.1,911,38.03
2019,1,11,14,0,762,939,110,31.900000000000002,2.1,910,45.980000000000004
2019,1,11,15,0,578,874,98,31.200000000000003,2.1,910,56.68
2019,1,11,16,0,347,743,79,29.400000000000002,1.6,911,68.86
2019,1,11,17,0,106,438,43,23.6,1.2000000000000002,911,81.8
2019,1,11,18,0,0,0,0,21.3,1.5,912,95.36
2019,1,11,19,0,0,0,0,20.1,1.9000000000000001,913,109.09
2019,1,11,20,0,0,0,0,19,2.5,914,122.98
2019,1,11,21,0,0,0,0,17.8,3,914,136.89000000000001
2019,1,11,22,0,0,0,0,16.6,2.9000000000000004,914,150.67000000000002
2019,1,11,23,0,0,0,0,15.600000000000001,2.5,914,163.72
2019,1,12,0,0,0,0,0,14.700000000000001,1.9000000000000001,914,171.21
2019,1,12,1,0,0,0,0,14,1.4000000000000001,913,162.74
2019,1,12,2,0,0,0,0,13.700000000000001,1.3,912,149.58
2019,1,12,3,0,0,0,0,13.9,1.5,912,135.77
2019,1,12,4,0,0,0,0,13.8,1.7000000000000002,912,121.85000000000001
2019,1,12,5,0,0,0,0,13.600000000000001,1.7000000000000002,913,107.97
2019,1,12,6,0,0,0,0,13.700000000000001,1.9000000000000001,914,94.24
2019,1,12,7,0,79,117,60,15.9,2.1,915,80.71000000000001
2019,1,12,8,0,350,640,108,20.1,2.5,915,67.79
2019,1,12,9,0,576,797,127,25,2.4000000000000004,915,55.68
2019,1,12,10,0,683,645,228,27.8,2.4000000000000004,914,45.11
2019,1,12,11,0,737,518,325,29.6,2.5,913,37.44
2019,1,12,12,0,821,629,303,30.8,2.6,912,34.65
2019,1,12,13,0,761,578,305,31.400000000000002,2.8000000000000003,911,37.85
2019,1,12,14,0,651,582,246,31.3,2.9000000000000004,910,45.800000000000004
2019,1,12,15,0,547,742,138,30.5,2.9000000000000004,910,56.52
2019,1,12,16,0,282,438,123,28.8,2.6,911,68.71000000000001
2019,1,12,17,0,95,283,54,23.700000000000003,1.5,911,81.67
2019,1,12,18,0,0,0,0,22,2.2,912,95.24
2019,1,12,19,0,0,0,0,21.1,3.3000000000000003,913,108.98
2019,1,12,20,0,0,0,0,19.6,3.6,914,122.88
2019,1,12,21,0,0,0,0,18.3,3.5,914,136.81
2019,1,12,22,0,0,0,0,17.1,3.1,914,150.62
2019,1,12,23,0,0,0,0,16.1,2.8000000000000003,914,163.72
2019,1,13,0,0,0,0,0,15.100000000000001,2.4000000000000004,913,171.37
2019,1,13,1,0,0,0,0,14.200000000000001,2,913,162.9
2019,1,13,2,0,0,0,0,13.4,1.6,912,149.70000000000002
2019,1,13,3,0,0,0,0,12.600000000000001,1.2000000000000002,912,135.87
2019,1,13,4,0,0,0,0,12.200000000000001,1.1,913,121.94
2019,1,13,5,0,0,0,0,12.100000000000001,1.1,913,108.04
2019,1,13,6,0,0,0,0,12.700000000000001,1.8,914,94.3
2019,1,13,7,0,118,377,57,15.100000000000001,2.2,915,80.74
2019,1,13,8,0,364,716,94,20.8,2.7,916,67.8
2019,1,13,9,0,596,866,108,25.400000000000002,3,915,55.660000000000004
2019,1,13,10,0,779,939,115,28,2.6,915,45.050000000000004
2019,1,13,11,0,894,971,122,29.8,2.4000000000000004,914,37.32
2019,1,13,12,0,932,981,123,31.1,2.3000000000000003,912,34.49
2019,1,13,13,0,889,969,122,31.700000000000003,2.1,911,37.660000000000004
2019,1,13,14,0,722,813,153,31.6,2,911,45.62
2019,1,13,15,0,469,458,215,30.900000000000002,2,910,56.35
2019,1,13,16,0,333,717,70,29.1,1.7000000000000002,911,68.56
